Model Year,Mfr Name,Division,Carline,Verify Mfr Cd,Index (Model Type Index),City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel
2019,Honda,Acura,NSX,HNX,41,28.7,30.2,29.3561,21,21.7131,21
2019,FCA US LLC,ALFA ROMEO,4C,CRX,403,28.7,45.7,34.4702,24.2492,34.3275,27.9406
2019,aston martin,Aston Martin Lagonda Ltd,Vantage V8,ASX,3,23.1719,35.2592,27.3986,18.4652,25.0596,20.9455
2019,Volkswagen Group of,Bugatti,Chiron,VGA,3,10.4,18.2,12.885,8.7889,14.1373,10.5921
2019,General Motors,Chevrolet,CORVETTE,GMX,26,14.7,27.1,18.5116,12.0468,19.6238,14.5801
2019,General Motors,Chevrolet,CORVETTE,GMX,3,18.3533,35.0548,23.3621,14.8588,24.9259,18.1592
2019,General Motors,Chevrolet,CORVETTE,GMX,15,16.8,29.6,20.8591,13.6716,23.1941,16.7698
2019,General Motors,Chevrolet,CORVETTE,GMX,25,15.8,26,19.1873,12.9007,18.8752,15.0434
2019,General Motors,Chevrolet,CORVETTE,GMX,14,18.2978,30.7841,22.3833,14.8166,22.1034,17.3975
2019,General Motors,Chevrolet,CORVETTE,GMX,2,20.027,35.4602,24.9046,16.1244,25.191,19.2406
2019,Ferrari,"Ferrari North America, Inc.",488 gtb,FEX,143,19.3288,30.4289,23.1248,15.5981,21.8661,17.9082
2019,Ferrari,"Ferrari North America, Inc.",488 gtb,FEX,142,18.9543,30.5792,22.866,15.3149,21.9666,17.731
2019,Ferrari,"Ferrari North America, Inc.",488 Pista,FEX,147,18.5498,27.2503,21.6621,15.008,19.7205,16.8163
2019,Ferrari,"Ferrari North America, Inc.",488 Pista Spider,FEX,149,18.3689,26.7487,21.3834,14.8706,19.3852,16.6115
2019,Ferrari,"Ferrari North America, Inc.",488 Spider,FEX,145,19.3288,30.4289,23.1248,15.5981,21.8661,17.9082
2019,Ferrari,"Ferrari North America, Inc.",488 Spider,FEX,144,18.9543,30.5792,22.866,15.3149,21.9666,17.731
2019,Ferrari,"Ferrari North America, Inc.",812 Superfast,FEX,154,14.3844,21.6452,16.9418,11.8007,15.8739,13.3412
2019,FCA US LLC,FIAT,124 Spider,CRX,401,32.8,53,39.5901,25.3422,36.2115,29.2998
2019,FCA US LLC,FIAT,124 Spider,CRX,402,34.1,51.5,40.2141,26.2388,35.3021,29.6662
2019,Ford Motor Company,Ford,FORD GT,FMX,196,13.9136,24.3678,17.2424,11.4325,17.7575,13.6147
2019,Jaguar Land Rover L,Jaguar,F-TYPE Convertible,JLX,185,29.4134,42.9021,34.2607,22.962,29.9708,25.6626
2019,Jaguar Land Rover L,Jaguar,F-TYPE Convertible,JLX,161,25,39.2,29.8689,19.8039,27.6137,22.6919
2019,Jaguar Land Rover L,Jaguar,F-TYPE Convertible Manual,JLX,171,19.6,33.6,24.1231,15.8028,23.9706,18.6648
2019,Jaguar Land Rover L,Jaguar,F-TYPE Coupe,JLX,184,29.4134,42.9021,34.2607,22.962,29.9708,25.6626
2019,Jaguar Land Rover L,Jaguar,F-TYPE Coupe,JLX,160,25,39.2,29.8689,19.8039,27.6137,22.6919
2019,Jaguar Land Rover L,Jaguar,F-TYPE Coupe Manual,JLX,170,19.6,33.6,24.1231,15.8028,23.9706,18.6648
2019,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Convertible,JLX,159,18.3,31.5,22.5528,14.8182,22.5804,17.5299
2019,Jaguar Land Rover L,Jaguar,F-TYPE R AWD Coupe,JLX,158,18.3,31.5,22.5528,14.8182,22.5804,17.5299
2019,Jaguar Land Rover L,Jaguar,F-TYPE S AWD Convertible,JLX,165,22.7,36.1,27.2521,18.117,25.6084,20.8635
2019,Jaguar Land Rover L,Jaguar,F-TYPE S AWD Coupe,JLX,164,22.7,36.1,27.2521,18.117,25.6084,20.8635
2019,Jaguar Land Rover L,Jaguar,F-TYPE S Convertible,JLX,163,23.9,37.8,28.6391,19.0003,26.7155,21.8371
2019,Jaguar Land Rover L,Jaguar,F-TYPE S Convertible Manual,JLX,173,19.1,33,23.567,15.4251,23.5747,18.2667
2019,Jaguar Land Rover L,Jaguar,F-TYPE S Coupe,JLX,162,23.9,37.8,28.6391,19.0003,26.7155,21.8371
